Identifiant;n° notice BnF;Type de notice ;Type de document;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb437053155 | ISBN 9782330020026 | ;43705315;monographie;texte imprimé;Ça dépend : un pop-up pour les petits / Janik Coat, Bernard Duisit;Coat, Janik (1972-....). Auteur du texte | Duisit, Bernard. Auteur du texte | ;;Hélium (Paris);2013;Code à barres commercial : EAN 9782330020026;;fre | français | ;"1 vol. (non paginé [18] p.) : ill. en coul., couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb414829258 | ISBN 9782915810448 | ;41482925;monographie;texte imprimé;Jouets de plantes : histoires et secrets de fabrications / par Christine Armengaud;Armengaud, Christine (1947-....). Auteur du texte;;Éd. Plume de carotte (Toulouse);2009;Code à barres commercial : EAN 9782915810448;Artisanat de nature | Jouets -- Fabrication -- Manuels d'amateurs | ;fre | français | ;"1 vol. (172 p.) : ill. en noir et en coul., couv. ill. en coul. ; 34 cm";
http://catalogue.bnf.fr/ark:/12148/cb41083685v | ISBN 9782755701654 | ;41083685;monographie;texte imprimé;Une année en forêt : arbres et rochers de Fontainebleau / Ianna Andréadis, Franck Bordas;Andréadis, Ianna (1960-....). Auteur du texte | Bordas, Franck (1959-....). Auteur du texte | ;;Panama (Paris);2007;Code à barres commercial : EAN 9782755701654;Fontainebleau, Forêt de (France);fre | français | ;"1 vol. (non paginé [ca 160] p.) : ill. en coul., couv. ill. en coul. ; 15 x 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb371126554 | ISBN 2020371936 | ;37112655;monographie;texte imprimé;Contes du Yiddishland : paroles du peuple juif / Ben Zimat;Zimet, Ben (1936-....). Auteur du texte;;Éd. du Seuil (Paris);2000;Collection : La mémoire des sources | Code à barres commercial : EAN 9782020371933 | ;;fre | français | ;"283 p. : couv. ill. ; 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb414142450 | ISBN 9782915492767 | ;41414245;monographie;texte imprimé;"Kitaro le repoussant. Volume 6 / Shigeru Mizuki ; traduit du japonais par Yukari et Patrick Honnoré ; adaptation de J.-L. Capron";Mizuki, Shigeru (1922-2015). Auteur du texte;;Éd. Cornélius (Paris);2008;"Collection : Collection Paul ; 20 | Code à barres commercial : EAN 9782915492767 | ";;fre | français | ;"1 vol. (190 p.) : ill., couv. ill. en coul. ; 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb41453185j | ISBN 9782714309921 | ;41453185;monographie;texte imprimé;"Contes judéo-espagnols des Balkans / collectés par Cynthia Mary Crews ; édités et traduits par Anna Angelopulos";;Aggelopoúlou, ́Anna (1950?-....). Traducteur | Crews, Cynthia Mary (1905-1969). Éditeur scientifique | ;J. Corti (Paris);2009;"Collection : Collection Merveilleux ; n° 38 | Code à barres commercial : EAN 9782714309921 | ";Contes judéo-espagnols -- Traductions françaises -- Balkans;fre | français | ;"1 vol. (392 p.) : ill. ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb41496775f | ISBN 9782203014763 | ;41496775;monographie;texte imprimé;Le sphinx d'or ([Reproduction en fac-similé]) Jacques Martin;;Martin, Jacques (1921-2010). Illustrateur;Casterman (Bruxelles);2009;Code à barres commercial : EAN 9782203014763;;fre | français | ;"1 vol. (63 p.) : ill. en noir et en coul., couv. ill. en coul. ; 31 cm";
http://catalogue.bnf.fr/ark:/12148/cb44487245k | ISBN 9782917237915 | ;44487245;monographie;texte imprimé;"Etenesh : l'odyssée d'une migrante / Paolo Castaldi ; traduction, Nathalie Baillot";Castaldi, Paolo (1982-....). Auteur du texte;;des Ronds dans l'o (Vincennes);2016;Code à barres commercial : EAN 9782917237915;;fre | français | ;"1 vol. (122 p.) : ill. en coul. ; 28 cm";
http://catalogue.bnf.fr/ark:/12148/cb44255755t | ISBN 9782919511112 | ;44255755;monographie;texte imprimé;"Sept vies / Walid Taher ; [traduit de l'arabe par Mathilde Chèvre] | Sabaʿ arwāḥ / Taʾlīf wa rusūm, Walīd Ṭāhir | سبع أرواح / تأليف و رسوم وليد طاهر | ";Ṭāhir, Walīd (1969-....). Auteur du texte;Chèvre, Mathilde (1972-....). Traducteur;le Port a jauni (Marseille);2014;Code à barres commercial : EAN 9782919511112;;fre;"1 vol. (non paginé [56] p.) : ill. en coul. ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb41406225n | ISBN 9782844070654 | ;41406225;monographie;texte imprimé;Un jour de lessive / Christian Bruel, Anne Bozellec;Bruel, Christian (1948-....). Auteur du texte | Bozellec, Anne (1943-....). Auteur du texte | ;;Éd. Être (Paris);2008;Collection : À l'envers des feuilles | Code à barres commercial : EAN 9782844070654 | ;;fre | français | ;"1 vol. (non paginé [26] p.) : tout en ill., couv. ill. ; 25 cm";
http://catalogue.bnf.fr/ark:/12148/cb44261565t | ISBN 9782756051246 | ;44261565;monographie;texte imprimé;Le grand méchant renard / Benjamin Renner;Renner, Benjamin (1983-....). Auteur du texte;;Delcourt (Paris);2015;Collection : Shampooing | Code à barres commercial : EAN 9782756051246 | ;;fre | français | ;"1 vol. (183 p.) : ill. en coul. ; 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb44262585p | ISBN 9782889082544 | ;44262585;monographie;texte imprimé;Mon tout petit / Germano Zullo, Albertine;Zullo, Germano (1968-....). Auteur du texte | Albertine (1967-....). Auteur du texte | ;;la Joie de lire (Genève);2015;Code à barres commercial : EAN 9782889082544 | Code à barres commercial : EAN 9782889085675 | ;;fre | français | ;"1 vol. (non paginé [39] p.) : ill. ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb424744259 | ISBN 9782081254213 | ;42474425;monographie;texte imprimé;"13 contes de Chine / Moss Roberts ; trad. de l'anglais (États-Unis) par Florence Godebska et Rose-Marie Vassallo ; illustrations de Frédéric Sochard";Roberts, Moss (1937-....). Auteur du texte;Godebska, Florence. Traducteur | Vassallo-Villaneau, Rose-Marie (1946-....). Traducteur | Sochard, Frédéric (1966-....). Illustrateur | ;Flammarion jeunesse (Paris);2011;Collection : Flammarion jeunesse | Code à barres commercial : EAN 9782081254213 | ;;fre | français | ;"1 vol. (86 p.) : ill., couv. ill. en coul. ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb421331952 | ISBN 9782226192042 | ;42133195;monographie;texte imprimé;"Aventures / texte, Anne Cortey ; illustrations, Janik Coat";Cortey, Anne (1966-....). Auteur du texte;Coat, Janik (1972-....). Illustrateur;A. Michel jeunesse (Paris);2010;Code à barres commercial : EAN 9782226192042;;fre | français | ;"1 vol. (non paginé [82] p.) : ill. en coul., couv. ill. en coul. ; 24 cm";
http://catalogue.bnf.fr/ark:/12148/cb42577445t | ISBN 9782912594792 | ;42577445;monographie;texte imprimé;"Zandoli mandé mayé / Gilda Gonfier ; [illustré par] Doumey Durieux ; traduit du français par Max Rippon | L'anoli amoureux | ";Gonfier, Gilda. Auteur du texte;Durieux-Assima, Doumey (1951-....). Illustrateur | Rippon, Max N. (1944-....). Traducteur | ;Éd. Jasor (Pointe-à-Pitre);2010;Code à barres commercial : EAN 9782912594792;;fre;"1 vol. (19-19 p.) : ill. en coul., couv. ill. en coul. ; 22 x 31 cm";
http://catalogue.bnf.fr/ark:/12148/cb44460985n | ISBN 9782877678728 | ;44460985;monographie;texte imprimé;"Par une journée d'hiver / texte de Ruth Krauss ; illustrations de Marc Simont ; [traduit de l'américain par Isabel Finkenstaedt]";Krauss, Ruth (1901-1993). Auteur du texte;Simont, Marc (1915-2013). Illustrateur | Finkenstaedt, Isabel. Traducteur | ;Kaléidoscope (Paris);2015;Code à barres commercial : EAN 9782877678728;;fre | français | ;"1 vol. (non paginé [28] p.) : ill. ; 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb44231505b | ISBN 9782366241099 | ;44231505;monographie;texte imprimé;"Voilà le chat ! / [illustrations de] Vladimir Vagin ; [texte de] Frank Asch";Asch, Frank (1946-....). Auteur du texte;Vagin, Vladimir Vasilʹevič (1937-....). Illustrateur;Cambourakis (Paris);2014;Code à barres commercial : EAN 9782366241099;;rus;"1 vol. (non paginé [28] p.) : ill. en coul. ; 27 cm";
http://catalogue.bnf.fr/ark:/12148/cb44306885d | ISBN 9782070663538 | ;44306885;monographie;texte imprimé;"Pour l'honneur de la tribu / Wendy Constance ; traduit de l'anglais par Marie Leymarie";Constance, Wendy. Auteur du texte;Leymarie, Marie (1974-....). Traducteur;Gallimard jeunesse (Paris);2015;;;fre | français | ;"1 vol. (330 p.) ; 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb42535575q | ISBN 9782362900112 | ;42535575;monographie;texte imprimé;"L'idiot du village et le vaisseau volant : un conte russe / raconté par Arthur Ransome ; dessins de Uri Shuletvitz ; [adaptation de l'américain par Catherine Bonhomme]";Ransome, Arthur (1884-1967). Auteur du texte;Shulevitz, Uri (1935-....). Illustrateur | Bonhomme, Catherine (1947-....). Traducteur | ;le Genévrier (Paris);2011;Collection : Collection Caldecott | Code à barres commercial : EAN 9782362900112 | ;;fre | français | ;"1 vol. (non paginé [44] p.) : ill. en coul., couv. et jaquette ill. en coul. ; 24 x 27 cm";
http://catalogue.bnf.fr/ark:/12148/cb44217825t | ISBN 9782846814331 | ;44217825;monographie;texte imprimé;Cupidon est malade : rêverie autour du "Songe d'une nuit d'été" de Shakespeare / Pauline Sales;Sales, Pauline (1969-....). Auteur du texte;;les Solitaires intempestifs (Besançon);2014;Collection : Jeunesse | Code à barres commercial : EAN 9782846814331 | ;;fre | français | ;"1 vol. (78 p.) ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb44291995g | ISBN 9782367321066 | ;44291995;monographie;texte imprimé;"Bestiaire fabuleux du Brésil / textes de Barbara Pillot ; illustrations de Ghislaine Herbéra";Pillot, Barbara (1976-....). Auteur du texte;Herbéra, Ghislaine (1972-....). Illustrateur;Chandeigne (Paris);2015;Code à barres commercial : EAN 9782367321066;;fre | français | ;"1 vol. (47 p.) : ill. en coul. ; 27 cm";
http://catalogue.bnf.fr/ark:/12148/cb44382715n | ISBN 9782841665549 | ;44382715;monographie;texte imprimé;"Le roi du vendredi / Patricia Musa ; [illustrations de] Hassan Musa";Musa, Patricia (1956-....). Auteur du texte;Musa, Hassan (1951-....). Illustrateur;Grandir (Nîmes);2015;Code à barres commercial : EAN 9782841665549;;fre | français | ;"1 vol. (non paginé [29] p.) : ill. ; 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb44356115b | ISBN 9782092556153 | ;44356115;monographie;texte imprimé;Yannis / Florence Hinckel;Hinckel, Florence (1973-....). Auteur du texte;;Nathan (Paris) | Syros (Paris) | ;2015;Code à barres commercial : EAN 9782092556153;;fre | français | ;"1 vol. (438 p.) ; 23 cm";
http://catalogue.bnf.fr/ark:/12148/cb44437495n | ISBN 9782723499774 | ;44437495;monographie;texte imprimé;"Toxic affair / dessin, Midam et Adam ; scénario, Midam et Patelin ; couleurs, Angèle";Midam (1963-....). Auteur du texte | Patelin. Auteur du texte | ;Adam (1969-....). Illustrateur;Mad fabrik (Grenoble);2015;Code à barres commercial : EAN 9782723499774;;fre | français | ;"1 vol. (45 p.) : ill. en coul. ; 30 cm";
http://catalogue.bnf.fr/ark:/12148/cb44446425f | ISBN 9782889082902 | ;44446425;monographie;texte imprimé;"Je pense / portraits de Ingrid Godon ; avec les textes de Toon Tellegen ; traduit du néerlandais par Maurice Lomré";Tellegen, Toon (1941-....). Auteur du texte;Godon, Ingrid (1958-....). Illustrateur | Lomré, Maurice. Traducteur | ;la Joie de lire (Genève);2015;Collection : Hors norme | Code à barres commercial : EAN 9782889082902 | ;;fre | français | ;"1 vol. (90 p.) : ill. en coul. ; 29 cm";
http://catalogue.bnf.fr/ark:/12148/cb42428005h | ISBN 9782800151472 | ;42428005;monographie;texte imprimé;"Les autres gens. 2 / Thomas Cadène... ; [dessins de] Thomas Allart, Aseyn, Bandini... [et al.]";Cadène, Thomas (1976-....). Auteur du texte;;Dupuis (Marcinelle);2011;Code à barres commercial : EAN 9782800151472;;fre | français | ;"1 vol. (220 p.) : ill. en noir et en coul., couv. ill. en coul. ; 25 cm";
http://catalogue.bnf.fr/ark:/12148/cb42565635c | ISBN 9782013935050 | ;42565635;monographie;texte imprimé;Plein soleil / Antoine Guilloppé;Guilloppé, Antoine (1971-....). Auteur du texte;;Gautier-Languereau (Paris);2011;Code à barres commercial : EAN 9782013935050 | Code à barres commercial : EAN 9782017025061 | ;;fre | français | ;"1 vol. (non paginé [30] p.) : ill., couv. et jaquette ill. ; 30 x 33 cm";
http://catalogue.bnf.fr/ark:/12148/cb423838554 | ISBN 9782358710176 | ;42383855;monographie;texte imprimé;"Départs d'enfants / Nicolas Gerrier ; illustré par Gaëlle Charlot";Gerrier, Nicolas (1964-....). Auteur du texte;Charlot, Gaëlle. Illustrateur;l'Atelier du poisson soluble (Le Puy-en-Velay);2011;"Collection : Collection En queue-de-poisson ; 9 | Code à barres commercial : EAN 9782358710176 | ";;fre | français | ;"1 vol. (120 p.) : ill. en noir et en coul., couv. ill. en coul. ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb422622758 | ISBN 9782352890928 | ;42262275;monographie;texte imprimé;"Me voici / Friedrich Karl Waechter ; traduit de l'allemand par Henri Christophe";Waechter, Friedrich Karl (1937-2005). Auteur du texte;Christophe, Henri (1945-....). Traducteur;Éd. MeMo (Nantes);2010;Code à barres commercial : EAN 99782352890928;;fre | français | ;"1 vol. (non paginé [36] p.) : ill. en coul., couv. ill. en coul. ; 28 cm";
http://catalogue.bnf.fr/ark:/12148/cb42393965x | ISBN 9782362470035 | ;42393965;monographie;texte imprimé;"La Réunion des religions / [textes de] Fabienne Jonca ; [illustrations d'] Hélène Moreau";Jonca, Fabienne (1965-....). Auteur du texte;Moreau, Hélène (1970-....). Illustrateur;Océan jeunesse (Saint-André (Réunion));2010;Collection : Océan jeunesse | Code à barres commercial : EAN 9782362470035 | ;Religions | Religion -- Réunion | ;fre | français | ;"1 vol. (55 p.) : ill. en coul., couv. ill. en coul. ; 27 cm";
http://catalogue.bnf.fr/ark:/12148/cb427247755 | ISBN 9782070639564 | ;42724775;monographie;texte imprimé;"Super-héros en plâtre / Marguerite Abouet, Mathieu Sapin ; d'après l'univers graphique de Clément Oubrerie ; couleurs de Clémence";Abouet, Marguerite (1971-....). Auteur du texte | Sapin, Mathieu (1974-....). Auteur du texte | ;Oubrerie, Clément (1966-....). Auteur adapté;Gallimard jeunesse (Paris);2011;Code à barres commercial : EAN 9782070639564;;fre | français | ;"1 vol. (44 p.) : ill. en coul., couv. ill. en coul. ; 27 cm";
http://catalogue.bnf.fr/ark:/12148/cb42770185w | ISBN 9782362900624 | ;42770185;monographie;texte imprimé;"Les sept pères / raconté par Ashely Ramsden ; illustration par Ed Young ; [adaptation de l'américain par Catherine Bonhomme]";Ramsden, Ashley. Auteur du texte;Young, Ed (1931-....). Illustrateur | Bonhomme, Catherine (1947-....). Traducteur | ;le Genévrier (Paris);2012;Collection : Collection Est-Ouest | Code à barres commercial : EAN 9782362900624 | ;;fre | français | ;"1 vol. (non paginé [32] p.) : ill. en coul., couv. ill. en coul. ; 26 cm";
http://catalogue.bnf.fr/ark:/12148/cb443332353 | ISBN 9782753106994 | ;44333235;monographie;texte imprimé;Kanuden sous un soleil nouveau / Moussa Konaté;Konaté, Moussa (1951-2013). Auteur du texte;;Édicef (Malakoff);2015;Collection : Buzz | Code à barres commercial : EAN 9782753106994 | ;;fre | français | ;"1 vol. (133 p.) ; 18 cm";
http://catalogue.bnf.fr/ark:/12148/cb44492945h | ISBN 9782211217118 | ;44492945;monographie;texte imprimé;"La guerre des mercredis / Gary D. Schmidt ; traduit de l'anglais (États-Unis) par Caroline Guilleminot";Schmidt, Gary D. (1957-....). Auteur du texte;Guilleminot, Caroline (1957-....). Traducteur;l'École des loisirs (Paris);2016;Code à barres commercial : EAN 9782211217118;;fre | français | ;"1 vol. (376 p.) ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb444929654 | ISBN 9782812609862 | ;44492965;monographie;texte imprimé;Le fils de l'ombre et de l'oiseau / Alex Cousseau;Cousseau, Alex (1974-....). Auteur du texte;;Rouergue (Arles);2016;Collection : Doado | Code à barres commercial : EAN 9782812609862 | ;;fre | français | ;"1 vol. (427 p.) : ill. ; 21 cm";
http://catalogue.bnf.fr/ark:/12148/cb442728057 | ISBN 9791093367040 | ;44272805;monographie;texte imprimé;Les moustiques / Maram al Masri;Maṣrī, Marām al- (1962-....). Auteur du texte;;Centre de créations pour l'enfance (Tinqueux);2015;Collection : Petit va ! | Code à barres commercial : EAN 9791093367040 | ;;fre | français | ;"1 vol. (non paginé [25] p.) ; 11 x 15 cm";
http://catalogue.bnf.fr/ark:/12148/cb42311325w | ISBN 9782923342276 | ;42311325;monographie;texte imprimé;"La fête des morts / texte de Dany Laferrière ; illustrations de Frédéric Normandin";Laferrière, Dany (1953-....). Auteur du texte;Normandin, Frédéric (1972-....). Illustrateur;les Éd. de la Bagnole (Longueuil (Québec)) | [Messageries ADP diff.] (Ivry-sur-Seine) | ;2010;Collection : Taxi | Code à barres commercial : EAN 9782923342276 | ;;fre | français | ;"1 vol. (non paginé [44] p.) : ill. en coul., couv. ill. en coul. ; 25 cm";
http://catalogue.bnf.fr/ark:/12148/cb42185925m | ISBN 9782290017906 | ;42185925;monographie;texte imprimé;La confrérie des naufrageurs / Johan Heliot;Heliot, Johan (1970-....). Auteur du texte;;Baam ! (Paris);2010;Collection : Baam ! | Code à barres commercial : EAN 9782290017906 | ;;fre | français | ;"1 vol. (414 p.) : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb42786305m | ISBN 9782211208567 | ;42786305;monographie;texte imprimé;Au ventre du monde / Gilles Barraqué;Barraqué, Gilles (1957-....). Auteur du texte;;l'École des loisirs (Paris);2012;Code à barres commercial : EAN 9782211208567;;fre | français | ;"1 vol. (279 p.) : couv. ill. ; 22 cm";
http://catalogue.bnf.fr/ark:/12148/cb42492065c | ISBN 9782211204415 | ;42492065;monographie;texte imprimé;"Mandela et Nelson / Hermann Schulz ; traduit de l'allemand par Dominique Kugler";Schulz, Hermann (1938-....). Auteur du texte;Kugler, Dominique (1954-....). Traducteur;l'École des loisirs (Paris);2011;Collection : Neuf | Code à barres commercial : EAN 9782211204415 | ;;fre | français | ;"1 vol. (188 p.) : couv. ill. en coul. ; 19 cm";
http://catalogue.bnf.fr/ark:/12148/cb42552645r | ISBN 9782364860032 | ;42552645;monographie;texte imprimé;Joséphine / par Benjamin Rabier;Rabier, Benjamin (1864-1939). Auteur du texte;;Langlaude (Paris);2011;Code à barres commercial : EAN 9782364860032;;fre | français | ;"1 vol. (17 p.) : ill. en coul., couv. ill. en coul. ; 23 x 28 cm";
